name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",1/1/21,40.8,35.9,37.6,34.8,28.7,31.8,30.3,75.8,0.81,100,41.67,rain,0,0,20.8,16.2,30.4,1027.8,99.6,8.3,12.8,1.2,1,,2021-01-01T07:26:54,2021-01-01T16:57:05,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/2/21,56.9,37,44.9,56.9,31.5,41.9,39,81.2,0,0,0,,0,0,26.4,14,326.8,1015.2,89.8,8.4,38.1,3.4,2,,2021-01-02T07:27:01,2021-01-02T16:57:55,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/3/21,43,38.9,40.6,42.7,31.8,35.9,37.1,87.7,0.28,100,29.17,rain,0,0,,11.3,2.9,1015.8,98.4,8.5,12.3,1,0,,2021-01-03T07:27:05,2021-01-03T16:58:46,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/4/21,46.1,34.7,40.5,44,29.8,36.9,34.2,78.8,0,0,0,,0,0,,9.8,334,1016.1,81,9.6,37.8,3.1,2,,2021-01-04T07:27:07,2021-01-04T16:59:39,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/5/21,42.8,39.6,40.9,41.8,32.4,37.3,35,79.3,0.03,100,4.17,rain,0,0,,12.3,315.8,1014.4,99.5,9.7,16.5,1.3,1,,2021-01-05T07:27:07,2021-01-05T17:00:33,0.7,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/6/21,42.9,38.6,40.5,35.3,32.3,33.3,28.9,63.4,0,0,0,,0,0,30.9,21.3,320.1,1020,99.4,9.9,22.9,2.1,1,,2021-01-06T07:27:05,2021-01-06T17:01:29,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/7/21,46.9,33.8,39.7,42.4,26.4,33.3,26.1,58.8,0,0,0,,0,0,31.8,19.3,329.5,1021.9,47.6,9.9,73.8,6.5,4,,2021-01-07T07:27:00,2021-01-07T17:02:25,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/8/21,37.9,33.8,35.6,34.3,24.9,29.3,24.2,63.2,0,0,0,,0,0,,13.4,351.8,1016.4,88.6,9.9,25.3,2.1,2,,2021-01-08T07:26:54,2021-01-08T17:03:23,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/9/21,46.9,31.8,38.4,39.7,21.1,29.9,18.1,45,0,0,0,,0,0,32.4,20.2,337.3,1015.3,51.5,9.9,75.1,6.5,4,,2021-01-09T07:26:45,2021-01-09T17:04:22,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/10/21,48.7,34.9,40.6,45.2,28.5,36.2,22.9,50.3,0,0,0,,0,0,27.5,13.8,319.3,1024.2,22.2,9.9,74.9,6.4,4,,2021-01-10T07:26:34,2021-01-10T17:05:22,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/11/21,43.1,29.2,36.3,39.7,27.5,34.4,27.8,71.5,0,0,0,,0,0,,7.9,194.5,1025.3,78.7,9.9,31.8,2.8,2,,2021-01-11T07:26:21,2021-01-11T17:06:23,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/12/21,48.8,29.3,37.2,46,24.4,35.6,27.8,71.6,0,0,0,,0,0,,8.8,309.6,1021.4,27.4,9.4,69.8,6.1,3,,2021-01-12T07:26:06,2021-01-12T17:07:24,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/13/21,50.1,30.2,39.1,50.1,25.5,37.8,30,71.2,0,0,0,,0,0,,9.8,191.7,1017.1,38.6,9.7,71.3,6.2,3,,2021-01-13T07:25:49,2021-01-13T17:08:27,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/14/21,55.1,31.4,41.7,55.1,31.4,41.3,29.8,67.1,0,0,0,,0,0,,12.2,7.6,1010.6,48.4,8.9,70.6,6.3,4,,2021-01-14T07:25:30,2021-01-14T17:09:30,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/15/21,52,34.7,43.3,52,27.4,40.3,36.3,77,0.17,100,16.67,rain,0,0,23,14.4,109.5,1009.4,91.5,9,45.7,3.8,3,,2021-01-15T07:25:09,2021-01-15T17:10:34,0.03,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/16/21,46.9,37.7,42.3,45.9,31.2,36.9,30.8,65.3,0,0,0,,0,0,31.1,14.1,289.7,1001.9,60.9,9.8,58.3,5.1,3,,2021-01-16T07:24:45,2021-01-16T17:11:39,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/17/21,48.6,33.7,40.4,43.3,26.6,34.7,26.1,57.1,0,0,0,,0,0,23,13.4,226,1007.9,81.2,9.9,52.8,4.5,3,,2021-01-17T07:24:20,2021-01-17T17:12:45,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/18/21,45.9,34.7,39.9,39.9,30.7,34.7,23.5,53.7,0,0,0,,0,0,30.7,17.3,269,1011.9,74.4,9.9,57.4,5.1,3,,2021-01-18T07:23:53,2021-01-18T17:13:51,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/19/21,52,33.7,41.1,52,28.8,37.3,20.1,45.2,0,0,0,,0,0,30.6,16.1,243.7,1020.8,60.9,9.9,75.2,6.5,4,,2021-01-19T07:23:23,2021-01-19T17:14:58,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/20/21,44.8,31.6,38.8,39.5,26.1,32.7,21.8,51.5,0,0,0,,0,0,47.3,27.1,301.6,1017.8,72.7,9.9,66,5.6,3,,2021-01-20T07:22:52,2021-01-20T17:16:05,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
"Washington,DC,USA",1/21/21,53.9,26.7,39.9,53.9,21.2,35.9,23.6,54.1,0,0,0,,0,0,,13.5,203.6,1010,34.9,9.9,79.6,6.9,4,,2021-01-21T07:22:18,2021-01-21T17:17:12,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,F8307,74594013705"
"Washington,DC,USA",1/22/21,49.9,32.9,41.3,45.1,27.5,35.8,23.3,51.3,0,0,0,,0,0,31.1,19.4,293.2,1010.3,27.6,9.9,84.5,7.3,4,,2021-01-22T07:21:43,2021-01-22T17:18:20,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,F8307,74594013705"
"Washington,DC,USA",1/23/21,39.6,26.9,33.1,31.8,14.3,22.8,10.6,39.2,0,0,0,,0,0,36.2,22,320.8,1022.6,37.9,9.8,84.5,7.4,4,,2021-01-23T07:21:05,2021-01-23T17:19:29,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,F8307,74594013705"
"Washington,DC,USA",1/24/21,37,26,31.7,37,15.5,25.9,12.6,45.3,0,0,0,,0,0,16.1,11.5,313.7,1025.4,81.8,9.9,69.1,6,4,,2021-01-24T07:20:26,2021-01-24T17:20:38,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,F8307,74594013705"
